Date,Feature
2020-04-13 00:00:00,1.09409
2020-04-13 01:00:00,1.09364
2020-04-13 02:00:00,1.09314
2020-04-13 03:00:00,1.09297
2020-04-13 04:00:00,1.09312
2020-04-13 05:00:00,1.0928799999999999
2020-04-13 06:00:00,1.09332
2020-04-13 07:00:00,1.0936700000000001
2020-04-13 08:00:00,1.0933700000000002
2020-04-13 09:00:00,1.0962
2020-04-13 10:00:00,1.09465
2020-04-13 11:00:00,1.09312
2020-04-13 12:00:00,1.09382
2020-04-13 13:00:00,1.0913899999999999
2020-04-13 14:00:00,1.09301
2020-04-13 15:00:00,1.0922399999999999
2020-04-13 16:00:00,1.0910600000000001
2020-04-13 17:00:00,1.08999
2020-04-13 18:00:00,1.09054
2020-04-13 19:00:00,1.09168
2020-04-13 20:00:00,1.09199
2020-04-13 21:00:00,1.09219
2020-04-13 22:00:00,1.09169
2020-04-13 23:00:00,1.0912
2020-04-14 00:00:00,1.0905
2020-04-14 01:00:00,1.09148
2020-04-14 02:00:00,1.09198
2020-04-14 03:00:00,1.0923
2020-04-14 04:00:00,1.0937
2020-04-14 05:00:00,1.0947
2020-04-14 06:00:00,1.0946799999999999
2020-04-14 07:00:00,1.09435
2020-04-14 08:00:00,1.0938700000000001
2020-04-14 09:00:00,1.09287
2020-04-14 10:00:00,1.09315
2020-04-14 11:00:00,1.09228
2020-04-14 12:00:00,1.0946
2020-04-14 13:00:00,1.0943399999999999
2020-04-14 14:00:00,1.09637
2020-04-14 15:00:00,1.0970799999999998
2020-04-14 16:00:00,1.0960299999999998
2020-04-14 17:00:00,1.09686
2020-04-14 18:00:00,1.09699
2020-04-14 19:00:00,1.09654
2020-04-14 20:00:00,1.09836
2020-04-14 21:00:00,1.09809
2020-04-14 22:00:00,1.09856
2020-04-14 23:00:00,1.09798
2020-04-15 00:00:00,1.0982
2020-04-15 01:00:00,1.09836
2020-04-15 02:00:00,1.09833
2020-04-15 03:00:00,1.09859
2020-04-15 04:00:00,1.0986200000000002
2020-04-15 05:00:00,1.0981100000000001
2020-04-15 06:00:00,1.09771
2020-04-15 07:00:00,1.09751
2020-04-15 08:00:00,1.0963200000000002
2020-04-15 09:00:00,1.0958299999999999
