time,open,high,low,close,Volume,Volume MA
1461245400,210.12,210.25,208.65,208.97,85695041,88651234.05
1461331800,208.55,209.29,207.91,208.97,99251724,89395777.6
1461591000,208.26,208.66,207.54,208.61,66166494,89583693.05
1461677400,209.04,209.52,208.36,208.9192,75864174,88730758.6
1461763800,208.47,209.81,208.05,209.35,77329437,88278964.95
1461850200,208.46,209.76,206.96,207.4475,97216169,88410567.9
1461936600,206.72,207.13,205.03,206.3308,142424137,89810600.85
1462195800,206.92,208.18,206.41,207.97,62188015,89745153.15
1462282200,206.52,206.8,205.28,206.1592,106422142,90083152.35
1462368600,204.99,205.85,204.42,205.01,92243810,90103354.8
1462455000,205.56,205.98,204.47,204.97,67619222,87791364.05
1462541400,204.06,205.77,203.88,205.72,89315004,87505084.35
1462800600,205.57,206.4,205.36,205.8892,74374922,87035956.15
1462887000,206.72,208.5,206.64,208.45,77472207,85142038.15
1462973400,207.91,208.54,206.5,206.5,81726989,84411565.95
1463059800,207.29,207.4899,205.37,206.56,89586308,85630237.2
1463146200,206.21,206.86,204.38,204.76,96474630,86665887.95
1463405400,204.96,207.34,204.89,206.78,77486827,86413681.3
1463491800,206.46,206.8,204.23,204.8508,114924940,87744125.3
1463578200,204.44,206.3,203.63,204.91,123493379,89863778.55
1463664600,204.06,204.54,202.78,204.2,115430507,91350551.85
1463751000,204.92,206.1,204.86,205.49,104990408,91637486.05
1464010200,205.51,205.84,204.985,205.21,58682576,91263290.15
1464096600,206.17,208.24,206.14,207.87,93537808,92146971.85
1464183000,208.67,209.77,207.8691,209.28,79221525,92241576.25
1464269400,209.44,209.71,208.97,209.34,55280699,90144802.75
1464355800,209.53,210.25,209.47,210.24,64211214,86234156.6
1464701400,210.56,210.69,209.18,209.84,109879380,88618724.85
1464787800,209.12,210.48,208.89,210.27,69936215,86794428.5
1464874200,209.8,210.93,209.2399,210.91,63044749,85334475.45
1464960600,210.25,210.69,208.86,210.28,101757126,87041370.65
1465219800,210.7,211.77,210.51,211.35,64887045,85819972.7
1465306200,211.525,212.34,211.5,211.68,60974761,85149964.65
1465392600,211.84,212.52,211.6899,212.37,66170920,84584900.3
1465479000,211.51,212.22,211.19,212.08,73786869,84187894.3
1465565400,210.46,210.86,209.43,210.07,113829158,85400036.8
1465824600,209.36,210.37,208.35,208.4492,117751153,86463862.95
1465911000,208,208.74,206.9199,208.04,125059286,88842485.9
1465997400,208.54,209.36,207.53,207.75,109124496,88552463.7
1466083800,206.73,208.57,205.59,208.37,149533065,89854448
1466170200,207.17,207.2,205.75,206.52,117055748,89935710.05
1466429400,208.82,209.61,207.75,207.85,82789603,88825669.8
